CHAMP;CODE;DESIGNATION;IDINTERNECLT;LIBELLE;TYPE;VALEURACTUEL
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200005443;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005478;Syntaxe spécifique non respectée;Erreur;ND
secActEcon;OBL002;;10200005443;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200005443;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005443;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005478;Date invalide;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005439;Date invalide;Erreur;ND
mobile;OBL002;;10200005439;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200005439;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005438;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200005438;Format incorrect;Erreur;ND
mobile;OBL002;;10200005438;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200005438;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005438;Syntaxe spécifique non respectée;Erreur;ND
sigle;SYN001;La longueur ne doit pas depasser 50 caracteres;10200005434;Format incorrect;Erreur;ASSOCIATION DES PARENTS D'ELEVES ET AMIS DE L'ECOLE
secActEcon;OBL002;;10200005484;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005439;Syntaxe spécifique non respectée;Erreur;ND
mobile;OBL002;;10200005434;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200005434;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200005439;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005434;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005432;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200005432;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005443;Date invalide;Erreur;ND
mobile;OBL002;;10200005432;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200005432;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005432;Syntaxe spécifique non respectée;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200005429;Format incorrect;Erreur;ND
mobile;OBL002;;10200005429;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200005434;Format incorrect;Erreur;ND
secActEcon;OBL002;;10200005429;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005429;Date invalide;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005421;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200005421;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005420;Date invalide;Erreur;ND
mobile;OBL002;;10200005420;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200005420;Champ obligatoire manquant;Erreur;
sigle;SYN001;La longueur ne doit pas depasser 50 caracteres;10200005443;Format incorrect;Erreur;ASSOCIATION DES PARENTS D'ELEVES DE BENTOURAYAH VILLAGE/MANE
secActEcon;OBL002;;10200005421;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005420;Syntaxe spécifique non respectée;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005429;Syntaxe spécifique non respectée;Erreur;ND
mobile;OBL002;;10200005409;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005476;Syntaxe spécifique non respectée;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005421;Syntaxe spécifique non respectée;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200005351;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005434;Date invalide;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005351;Date invalide;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005409;Date invalide;Erreur;ND
mobile;OBL002;;10200005351;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200005351;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200005278;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005278;Date invalide;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005278;Syntaxe spécifique non respectée;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200005254;Format incorrect;Erreur;ND
mobile;OBL002;;10200005421;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005409;Syntaxe spécifique non respectée;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005247;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005247;Date invalide;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005245;Date invalide;Erreur;ND
mobile;OBL002;;10200005247;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200005245;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005245;Syntaxe spécifique non respectée;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005254;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005230;Date invalide;Erreur;ND
secActEcon;OBL002;;10200005247;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200005230;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200005254;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200005227;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200005254;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200005227;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200005218;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005230;Syntaxe spécifique non respectée;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005351;Syntaxe spécifique non respectée;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005227;Syntaxe spécifique non respectée;Erreur;ND
sigle;SYN001;La longueur ne doit pas depasser 50 caracteres;10200005132;Format incorrect;Erreur;ASSOCIATION DES JEUNES POUR LE BIEN ETRE DE LA GUINEE
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005132;Date invalide;Erreur;ND
mobile;OBL002;;10200005132;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200005132;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005132;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005254;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200005247;Format incorrect;Erreur;ND
sigle;SYN001;La longueur ne doit pas depasser 50 caracteres;10200005096;Format incorrect;Erreur;ASSOCIATION DES JEUNES RESSORTISSANTS RESIDENTS ET AMIS DE
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005096;Date invalide;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005218;Syntaxe spécifique non respectée;Erreur;ND
mobile;OBL002;;10200005096;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200005096;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200005218;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005064;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200005064;Format incorrect;Erreur;ND
secActEcon;OBL002;;10200005064;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005064;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005218;Date invalide;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005049;Date invalide;Erreur;ND
mobile;OBL002;;10200005049;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200005049;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005227;Date invalide;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005049;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005024;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200005024;Format incorrect;Erreur;ND
mobile;OBL002;;10200005024;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005024;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005018;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200005018;Format incorrect;Erreur;ND
mobile;OBL002;;10200005018;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200005018;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005096;Syntaxe spécifique non respectée;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005018;Syntaxe spécifique non respectée;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005005;Syntaxe spécifique non respectée;Erreur;ND
secActEcon;OBL002;;10200005024;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005002;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200005005;Format incorrect;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200005002;Format incorrect;Erreur;ND
mobile;OBL002;;10200005002;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200005002;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005002;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005001;Date invalide;Erreur;ND
mobile;OBL002;;10200005001;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200005001;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200004084;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200004083;Date invalide;Erreur;ND
mobile;OBL002;;10200004084;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200005064;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200004083;Format incorrect;Erreur;ND
mobile;OBL002;;10200004083;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200004083;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200005096;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200004084;Date invalide;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200004079;Date invalide;Erreur;ND
secActEcon;OBL002;;10200004079;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200004079;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200004078;Date invalide;Erreur;ND
mobile;OBL002;;10200004079;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200004083;Syntaxe spécifique non respectée;Erreur;ND
secActEcon;OBL002;;10200005049;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200004075;Date invalide;Erreur;ND
secActEcon;OBL002;;10200005001;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200004078;Syntaxe spécifique non respectée;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005001;Syntaxe spécifique non respectée;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200004075;Syntaxe spécifique non respectée;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200004075;Format incorrect;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200004079;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200004074;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200004074;Format incorrect;Erreur;ND
mobile;OBL002;;10200004074;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200004074;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200004078;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200004078;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200004074;Syntaxe spécifique non respectée;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200004070;Format incorrect;Erreur;ND
mobile;OBL002;;10200004075;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200004070;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200004070;Date invalide;Erreur;ND
mobile;OBL002;;10200004061;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200004061;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005005;Date invalide;Erreur;ND
mobile;OBL002;;10200004070;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200004061;Date invalide;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200004054;Syntaxe spécifique non respectée;Erreur;ND
mobile;OBL002;;10200004054;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200004036;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200004061;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200004036;Syntaxe spécifique non respectée;Erreur;ND
mobile;OBL002;;10200004031;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200004030;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200004030;Format incorrect;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200004078;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200004054;Date invalide;Erreur;ND
mobile;OBL002;;10200004030;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200004036;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200004030;Champ obligatoire manquant;Erreur;
sigle;SYN001;La longueur ne doit pas depasser 50 caracteres;10200004026;Format incorrect;Erreur;ASSOCIATION POUR LE DEVELOPEMENT INTEGRE DE COYAH ADICO
secActEcon;OBL002;;10200004061;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200004026;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200004031;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200004015;Date invalide;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200004030;Syntaxe spécifique non respectée;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200004015;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003993;Date invalide;Erreur;ND
mobile;OBL002;;10200003993;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200004026;Syntaxe spécifique non respectée;Erreur;ND
secActEcon;OBL002;;10200003993;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200003991;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003991;Date invalide;Erreur;ND
secActEcon;OBL002;;10200003991;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003993;Syntaxe spécifique non respectée;Erreur;ND
secActEcon;OBL002;;10200004015;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003991;Syntaxe spécifique non respectée;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200004031;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003845;Date invalide;Erreur;ND
mobile;OBL002;;10200003845;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003845;Format incorrect;Erreur;ND
secActEcon;OBL002;;10200003845;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003845;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003822;Date invalide;Erreur;ND
mobile;OBL002;;10200003822;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003822;Format incorrect;Erreur;ND
secActEcon;OBL002;;10200003822;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200004015;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003819;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003822;Syntaxe spécifique non respectée;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003819;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200004031;Date invalide;Erreur;ND
mobile;OBL002;;10200003819;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200003799;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003799;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003798;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003798;Format incorrect;Erreur;ND
mobile;OBL002;;10200003798;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003819;Date invalide;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003799;Syntaxe spécifique non respectée;Erreur;ND
secActEcon;OBL002;;10200003798;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200003796;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003796;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003796;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200006107;Date invalide;Erreur;ND
mobile;OBL002;;10200003796;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003799;Date invalide;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003796;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200006107;Format incorrect;Erreur;ND
secActEcon;OBL002;;10200006107;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200003799;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200003819;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200003793;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200003793;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200004026;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003787;Date invalide;Erreur;ND
mobile;OBL002;;10200003787;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200006107;Syntaxe spécifique non respectée;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003787;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003784;Date invalide;Erreur;ND
mobile;OBL002;;10200003784;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003793;Syntaxe spécifique non respectée;Erreur;ND
secActEcon;OBL002;;10200003784;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003798;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003781;Date invalide;Erreur;ND
secActEcon;OBL002;;10200003781;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200006107;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003784;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003755;Date invalide;Erreur;ND
mobile;OBL002;;10200003755;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200003755;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003755;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003755;Syntaxe spécifique non respectée;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003787;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003688;Date invalide;Erreur;ND
mobile;OBL002;;10200003781;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003781;Syntaxe spécifique non respectée;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003688;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003688;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003793;Date invalide;Erreur;ND
secActEcon;OBL002;;10200003787;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200003688;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003632;Syntaxe spécifique non respectée;Erreur;ND
mobile;OBL002;;10200003688;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200003632;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003784;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003632;Date invalide;Erreur;ND
mobile;OBL002;;10200003625;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200003632;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003625;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003625;Date invalide;Erreur;ND
mobile;OBL002;;10200003541;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003632;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003602;Syntaxe spécifique non respectée;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003541;Format incorrect;Erreur;ND
secActEcon;OBL002;;10200003541;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003541;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003418;Date invalide;Erreur;ND
mobile;OBL002;;10200003602;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003418;Format incorrect;Erreur;ND
secActEcon;OBL002;;10200003625;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200003602;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003392;Date invalide;Erreur;ND
mobile;OBL002;;10200003392;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003541;Date invalide;Erreur;ND
secActEcon;OBL002;;10200003418;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003392;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003388;Date invalide;Erreur;ND
mobile;OBL002;;10200003418;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200003388;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003625;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003388;Syntaxe spécifique non respectée;Erreur;ND
mobile;OBL002;;10200003386;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003386;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003365;Date invalide;Erreur;ND
